Material,0.2 < L < 0.25 (in m),0.015 < D < 0.02 (in m),5490.0 < P_allowable < 27130.0 (in kN),Max. objective = P_allowable / Volume = P/(D*D*L)
Aluminium,0.2,0.01999999999999997,27089.250999999833,431357499.99999857
Carbon_Steel_Alloy,0.2,0.015299999999999998,26905.479466562818,732079459.5187496
